Most convenient hour to attend a class,Do you prefer interactive classes,Will you go to a class if a staff is more strict wrt to 75% attendance?,Will you go to a class if a staff is more strict wrt to allowing late comers?,Will you go to a class if the staff does not monitor you strictly in the class?,Chalk n Board,Projector,After Lunch ?,Last hour(8th)?,Hour after a free hour or two?,Hour after an assessment?,Will you go even after you have 75% attendance?,Will you go to the class if extra hour is taken?,Will you go to the class if the teacher takes non-tech often?,First two hours during Culturals and Symposiums?,Lone hours in a day?,Hours in days between holidays?
3,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
3,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0
4,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0
1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0
3,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
3,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
3,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1
5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
3,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
3,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0
2,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1
1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
2,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0
3,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
2,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1
1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0
3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
5,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
5,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
4,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0
3,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0
3,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
3,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0
6,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0
6,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0
5,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0
2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1
2,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0
2,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
