Timestamp,Most convenient hour to attend a class,Do you prefer interactive classes,Will you go to a class if a staff is more strict wrt to 75% attendance?,Will you go to a class if a staff is more strict wrt to allowing late comers?,Will you go to a class if the staff does not monitor you strictly in the class?,Chalk n Board or Projector based?,After Lunch ?,Last hour(8th)?,Hour after a free hour or two?,Hour after an assessment?,Will you go even after you have 75% attendance?,Will you go to the class if extra hour is taken?,Will you go to the class if the teacher talks about non-tech often?,First two hours during Culturals and Symposiums?,Lone hours in a day?,Hours in days between holidays?
2020/03/20 11:22:41 AM GMT+5:30,3,No,Yes,Yes,Yes,Chalk n Board,No,No,No,No,Yes,Yes,Yes,No,No,No
2020/03/20 11:22:48 AM GMT+5:30,1,Yes,Yes,No,Yes,Projector,No,No,No,No,No,No,Yes,No,No,No
2020/03/20 11:22:48 AM GMT+5:30,3,Yes,Yes,Yes,Yes,Chalk n Board,No,No,No,No,No,Yes,Yes,No,No,No
2020/03/20 11:23:07 AM GMT+5:30,4,Yes,Yes,Yes,Yes,Chalk n Board,No,No,No,No,Yes,Yes,Yes,No,Yes,No
2020/03/20 11:24:12 AM GMT+5:30,1,Yes,Yes,Yes,Yes,Chalk n Board,Yes,No,No,No,Yes,Yes,No,No,No,No
2020/03/20 11:26:06 AM GMT+5:30,3,No,No,Yes,Yes,Projector,No,No,No,No,No,No,Yes,No,No,No
2020/03/20 11:26:37 AM GMT+5:30,3,No,Yes,Yes,No,Projector,No,No,No,No,No,No,Yes,No,No,No
2020/03/20 11:27:18 AM GMT+5:30,3,Yes,Yes,No,Yes,Chalk n Board,No,No,No,Yes,Yes,No,Yes,No,No,Yes
2020/03/20 11:28:35 AM GMT+5:30,5,No,Yes,No,No,Projector,Yes,No,No,No,No,No,No,No,No,No
2020/03/20 11:28:54 AM GMT+5:30,2,No,Yes,Yes,Yes,Projector,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
2020/03/20 11:29:13 AM GMT+5:30,3,No,No,No,No,Chalk n Board,No,No,No,No,No,No,No,No,No,No
2020/03/20 11:29:49 AM GMT+5:30,3,No,Yes,Yes,Yes,Projector,No,No,No,No,No,No,Yes,No,No,No
2020/03/20 11:29:52 AM GMT+5:30,1,Yes,Yes,Yes,Yes,Chalk n Board,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
2020/03/20 11:30:07 AM GMT+5:30,3,Yes,No,No,Yes,Projector,No,No,Yes,No,No,No,Yes,Yes,No,No
2020/03/20 11:30:46 AM GMT+5:30,3,Yes,No,Yes,Yes,Projector,No,No,No,No,No,No,No,No,No,No
2020/03/20 11:31:09 AM GMT+5:30,3,No,Yes,Yes,Yes,Chalk n Board,No,No,No,Yes,Yes,No,Yes,No,No,No
2020/03/20 11:31:14 AM GMT+5:30,2,No,Yes,Yes,Yes,Chalk n Board,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
2020/03/20 11:31:55 AM GMT+5:30,1,Yes,Yes,Yes,No,Projector,No,No,No,No,No,No,Yes,No,No,No
2020/03/20 11:32:23 AM GMT+5:30,2,No,Yes,Yes,Yes,Chalk n Board,No,No,Yes,No,No,Yes,Yes,No,No,No
2020/03/20 11:33:34 AM GMT+5:30,3,No,Yes,No,Yes,Projector,No,No,Yes,No,No,No,Yes,No,No,No
2020/03/20 11:34:29 AM GMT+5:30,2,Yes,Yes,Yes,No,Chalk n Board,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
2020/03/20 11:35:39 AM GMT+5:30,1,Yes,Yes,Yes,No,Projector,No,No,No,No,Yes,No,Yes,No,No,No
2020/03/20 11:36:58 AM GMT+5:30,3,No,Yes,Yes,No,Chalk n Board,No,No,No,No,No,No,Yes,No,No,No
2020/03/20 11:37:04 AM GMT+5:30,5,Yes,No,No,Yes,Projector,No,No,No,No,Yes,No,Yes,No,Yes,No
2020/03/20 11:37:09 AM GMT+5:30,5,Yes,No,No,Yes,Projector,No,No,No,No,Yes,No,Yes,No,Yes,No
2020/03/20 11:38:38 AM GMT+5:30,4,Yes,No,No,Yes,Chalk n Board,No,No,No,No,No,No,Yes,Yes,Yes,No
2020/03/20 11:39:19 AM GMT+5:30,3,Yes,Yes,No,Yes,Chalk n Board,No,No,Yes,No,No,Yes,Yes,No,Yes,No
2020/03/20 11:39:56 AM GMT+5:30,3,No,Yes,No,No,Projector,No,No,No,No,No,Yes,Yes,No,No,No
2020/03/20 11:40:41 AM GMT+5:30,3,Yes,Yes,Yes,Yes,Chalk n Board,No,No,Yes,No,No,No,Yes,No,No,No
2020/03/20 11:41:17 AM GMT+5:30,6,Yes,Yes,Yes,Yes,Chalk n Board,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2020/03/20 11:41:21 AM GMT+5:30,2,Yes,No,No,Yes,Chalk n Board,No,No,No,No,No,No,No,No,No,No
2020/03/20 11:41:49 AM GMT+5:30,3,Yes,Yes,Yes,Yes,Chalk n Board,No,No,No,No,Yes,Yes,Yes,No,No,No
2020/03/20 11:43:47 AM GMT+5:30,6,No,No,No,Yes,Projector,No,No,No,No,No,Yes,No,No,No,No
2020/03/20 11:44:44 AM GMT+5:30,1,Yes,No,No,Yes,Chalk n Board,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2020/03/20 11:45:49 AM GMT+5:30,1,Yes,Yes,Yes,Yes,Projector,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No
2020/03/20 11:46:04 AM GMT+5:30,5,Yes,Yes,Yes,Yes,Chalk n Board,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
2020/03/20 11:46:43 AM GMT+5:30,2,Yes,Yes,Yes,No,Chalk n Board,No,No,No,No,Yes,No,No,No,No,Yes
2020/03/20 11:47:16 AM GMT+5:30,2,Yes,Yes,Yes,No,Projector,No,No,No,No,No,No,Yes,No,No,No
2020/03/20 11:48:25 AM GMT+5:30,1,No,Yes,No,Yes,Projector,Yes,No,No,Yes,No,No,Yes,No,No,No
2020/03/20 11:48:36 AM GMT+5:30,2,Yes,Yes,No,Yes,Chalk n Board,No,No,No,No,Yes,No,Yes,No,No,No
2020/03/20 11:49:11 AM GMT+5:30,2,No,No,Yes,Yes,Chalk n Board,No,No,No,No,No,No,Yes,No,No,No
2020/03/20 11:50:33 AM GMT+5:30,3,No,Yes,Yes,Yes,Chalk n Board,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes
2020/03/20 11:51:17 AM GMT+5:30,3,Yes,Yes,Yes,Yes,Chalk n Board,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
2020/03/20 12:02:28 PM GMT+5:30,3,No,Yes,Yes,Yes,Chalk n Board,No,No,No,No,No,No,No,No,No,No
2020/03/20 12:08:19 PM GMT+5:30,2,Yes,Yes,Yes,No,Chalk n Board,No,No,Yes,No,No,Yes,Yes,No,No,No
2020/03/20 12:10:13 PM GMT+5:30,2,Yes,Yes,Yes,Yes,Chalk n Board,No,No,No,Yes,Yes,No,Yes,No,No,No
2020/03/20 12:17:53 PM GMT+5:30,3,Yes,No,No,Yes,Chalk n Board,Yes,No,No,No,Yes,No,No,No,No,Yes
2020/03/20 12:21:54 PM GMT+5:30,6,Yes,Yes,Yes,Yes,Chalk n Board,No,No,No,No,No,No,Yes,No,No,No
2020/03/20 12:33:02 PM GMT+5:30,2,Yes,Yes,Yes,Yes,Chalk n Board,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
2020/03/20 12:38:07 PM GMT+5:30,1,Yes,Yes,Yes,Yes,Projector,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
2020/03/20 12:46:05 PM GMT+5:30,3,Yes,Yes,Yes,Yes,Chalk n Board,No,No,No,No,Yes,Yes,Yes,No,No,No
2020/03/20 12:47:44 PM GMT+5:30,3,Yes,Yes,Yes,Yes,Projector,No,No,No,No,No,No,No,No,No,No
2020/03/20 12:48:38 PM GMT+5:30,3,Yes,Yes,Yes,Yes,Projector,No,No,No,No,Yes,No,Yes,Yes,Yes,No
2020/03/20 12:49:18 PM GMT+5:30,2,Yes,Yes,Yes,No,Projector,No,No,No,No,No,No,No,No,Yes,Yes
2020/03/20 12:50:28 PM GMT+5:30,2,Yes,Yes,Yes,Yes,Chalk n Board,Yes,No,No,No,Yes,Yes,Yes,No,No,No
2020/03/20 12:50:59 PM GMT+5:30,2,Yes,Yes,Yes,Yes,Chalk n Board,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes
2020/03/20 12:51:11 PM GMT+5:30,6,No,Yes,No,Yes,Chalk n Board,No,No,No,Yes,No,No,Yes,No,Yes,No
2020/03/20 12:51:23 PM GMT+5:30,5,Yes,Yes,Yes,Yes,Chalk n Board,Yes,No,No,No,Yes,Yes,Yes,No,No,No
2020/03/20 12:51:40 PM GMT+5:30,3,No,Yes,Yes,Yes,Chalk n Board,No,No,No,Yes,Yes,No,Yes,No,No,No
2020/03/20 12:51:40 PM GMT+5:30,3,No,Yes,Yes,Yes,Chalk n Board,No,No,No,Yes,Yes,No,Yes,No,No,No
2020/03/20 12:52:41 PM GMT+5:30,3,Yes,No,No,Yes,Chalk n Board,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No
2020/03/20 12:52:56 PM GMT+5:30,3,Yes,Yes,Yes,Yes,Chalk n Board,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
2020/03/20 12:55:56 PM GMT+5:30,3,No,Yes,Yes,No,Chalk n Board,No,No,No,No,Yes,No,No,No,No,No
2020/03/20 12:58:30 PM GMT+5:30,1,No,Yes,Yes,No,Chalk n Board,No,No,No,No,No,No,Yes,No,No,No
2020/03/20 1:13:05 PM GMT+5:30,1,Yes,Yes,Yes,Yes,Chalk n Board,No,No,No,No,Yes,Yes,Yes,No,No,No
2020/03/20 1:14:11 PM GMT+5:30,1,Yes,Yes,Yes,Yes,Projector,No,No,Yes,No,Yes,Yes,No,No,Yes,No
2020/03/20 1:17:13 PM GMT+5:30,3,Yes,Yes,Yes,Yes,Projector,No,No,No,No,Yes,No,No,No,No,No
2020/03/20 1:20:25 PM GMT+5:30,4,Yes,Yes,No,Yes,Chalk n Board,No,No,No,Yes,Yes,No,No,No,No,No
2020/03/20 1:22:51 PM GMT+5:30,3,Yes,Yes,No,Yes,Chalk n Board,No,No,No,No,No,No,Yes,No,No,No
2020/03/20 1:25:45 PM GMT+5:30,3,Yes,Yes,No,Yes,Chalk n Board,No,No,No,No,Yes,No,No,No,No,No
2020/03/20 1:25:54 PM GMT+5:30,2,Yes,Yes,No,Yes,Chalk n Board,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No
2020/03/20 1:29:40 PM GMT+5:30,2,Yes,Yes,Yes,Yes,Chalk n Board,No,No,Yes,No,Yes,Yes,Yes,No,No,No
2020/03/20 1:31:54 PM GMT+5:30,3,Yes,Yes,No,Yes,Projector,Yes,No,Yes,No,No,No,Yes,No,No,No
2020/03/20 1:39:22 PM GMT+5:30,4,No,Yes,No,Yes,Projector,No,No,No,No,No,No,Yes,No,No,No
2020/03/20 1:39:43 PM GMT+5:30,5,Yes,Yes,Yes,Yes,Chalk n Board,Yes,No,Yes,No,Yes,No,No,Yes,No,No
2020/03/20 1:50:41 PM GMT+5:30,1,No,Yes,Yes,Yes,Projector,No,No,No,No,No,No,Yes,No,No,No
2020/03/20 2:11:33 PM GMT+5:30,2,Yes,Yes,Yes,Yes,Chalk n Board,No,No,No,No,Yes,No,No,No,Yes,Yes
2020/03/20 2:13:07 PM GMT+5:30,2,Yes,Yes,Yes,Yes,Projector,No,No,No,No,Yes,Yes,Yes,No,No,No
2020/03/20 2:24:51 PM GMT+5:30,3,Yes,Yes,Yes,Yes,Chalk n Board,No,No,No,No,Yes,Yes,Yes,No,Yes,No
2020/03/20 2:34:41 PM GMT+5:30,3,Yes,Yes,Yes,No,Chalk n Board,No,No,No,No,No,No,No,Yes,No,No
2020/03/20 2:39:29 PM GMT+5:30,1,Yes,Yes,Yes,Yes,Chalk n Board,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
2020/03/20 3:09:21 PM GMT+5:30,3,Yes,Yes,Yes,No,Chalk n Board,No,No,No,No,No,No,Yes,No,No,No
2020/03/20 4:15:46 PM GMT+5:30,2,Yes,Yes,Yes,Yes,Chalk n Board,No,No,Yes,No,No,No,Yes,No,Yes,No
2020/03/20 5:05:36 PM GMT+5:30,1,Yes,Yes,Yes,Yes,Chalk n Board,No,No,No,No,No,No,No,No,No,No
2020/03/20 5:48:00 PM GMT+5:30,2,Yes,Yes,No,Yes,Chalk n Board,No,No,Yes,No,Yes,No,No,No,No,No
2020/03/20 6:10:23 PM GMT+5:30,3,Yes,Yes,Yes,Yes,Chalk n Board,No,No,Yes,No,No,No,No,No,No,No
2020/03/20 6:10:24 PM GMT+5:30,2,Yes,No,Yes,Yes,Projector,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
2020/03/20 6:16:31 PM GMT+5:30,3,No,Yes,Yes,No,Projector,No,No,No,No,No,No,Yes,No,Yes,No
2020/03/20 6:20:13 PM GMT+5:30,2,Yes,Yes,Yes,Yes,Chalk n Board,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
2020/03/20 7:11:35 PM GMT+5:30,1,Yes,Yes,Yes,Yes,Chalk n Board,No,No,Yes,No,Yes,Yes,Yes,No,No,No
2020/03/20 7:28:31 PM GMT+5:30,2,Yes,Yes,No,Yes,Chalk n Board,No,No,Yes,No,Yes,No,No,No,No,No
2020/03/20 8:12:01 PM GMT+5:30,3,No,Yes,Yes,No,Chalk n Board,No,No,Yes,No,No,No,Yes,No,No,No
2020/03/20 9:12:04 PM GMT+5:30,3,Yes,No,No,Yes,Chalk n Board,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
2020/03/20 9:13:16 PM GMT+5:30,5,Yes,Yes,No,Yes,Projector,No,No,No,Yes,Yes,Yes,Yes,No,No,No
2020/03/20 9:19:54 PM GMT+5:30,3,Yes,Yes,Yes,Yes,Chalk n Board,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes
2020/03/20 9:29:55 PM GMT+5:30,5,Yes,Yes,Yes,Yes,Chalk n Board,Yes,No,Yes,No,No,No,No,Yes,No,No
2020/03/21 10:17:24 AM GMT+5:30,2,Yes,Yes,Yes,No,Chalk n Board,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No
2020/03/21 10:47:14 AM GMT+5:30,3,Yes,Yes,Yes,No,Chalk n Board,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
2020/03/21 6:58:26 PM GMT+5:30,1,No,No,No,Yes,Chalk n Board,No,No,No,No,Yes,Yes,Yes,No,No,No
